Days ,8.00-8.30,8.30-9.00,9.00-9.30,9.30-10.00,10.00-10.30,10.30-11.00,11.00-11.30,11.30-12.00,12.00-12.30,12.30-1.00,1.00-1.30,1.30-2.00,2.00-2.30,2.30-3.00,3.00-3.30,3.30-4.00,4.00-4.30,4.30-5.00,5.00-5.30,5.30-6.00,
Mon,019+,019+,004+,016+,022+,008+022+,008+022+,008+,Break,Break,,001+019+,001+010+019+024+,001+010+024+,002+010+024+,002+024+,002+,004+,004+012+,004+012+,
Tue,,,,011+,011+024+,011+024+,011+024+,024+,Break,Break,017+,017+,017+,017+,009+,007+009+,007+009+,007+,007+,,
Wed,,023+,013+023+,006+013+023+,006+013+023+,002+013+023+,002+013+023+,002+013+,Break,Break,021+,021+,021+,002+021+,002+011+,002+011+,011+018+,011+018+025+,025+,025+,
Thurs,005+,005+015+,015+,015+020+,001+020+,001+020+,001+020+,,Break,Break,,022+,005+016+022+,005+016+022+,002+,002+024+,002+024+,024+,024+,,
Fri,,,,021+,017+021+,017+021+,017+021+,017+,Break,Break,,,,,019+,006+019+,006+,,,,
Sat,,,003+015+,003+015+020+,003+015+020+,003+018+020+,003+018+020+,003+,Break,Break,002+014+018+,002+014+018+,002+014+,025+,025+,007+025+,007+,007+,007+012+,012+,
