Days ,8.00-8.30,8.30-9.00,9.00-9.30,9.30-10.00,10.00-10.30,10.30-11.00,11.00-11.30,11.30-12.00,12.00-12.30,12.30-1.00,1.00-1.30,1.30-2.00,2.00-2.30,2.30-3.00,3.00-3.30,3.30-4.00,4.00-4.30,4.30-5.00,5.00-5.30,5.30-6.00,
Mon,006+,006+,,,,,,,Break,Break,,,,012+,002+012+,002+,002+,,,,
Tue,002+,002+,002+007+013+,007+013+,007+013+,007+013+,005+013+,005+013+,Break,Break,010+,010+,010+,,001+,001+,001+,012+,012+,,
Wed,,002+,002+004+,002+004+,004+,,,,Break,Break,,014+,014+,014+,003+,003+,003+,003+,003+,003+,
Thurs,008+,004+008+,004+008+,004+011+,011+012+,011+012+,011+,,Break,Break,,,001+,001+,001+,,,,,,
Fri,,,,009+,009+,002+009+,002+,002+,Break,Break,,,,002+,002+,002+005+011+,005+011+,011+,011+,,
Sat,,,006+007+,006+007+,007+,007+,,,Break,Break,,,014+,014+,014+,,,,006+,006+,
