Days ,8.00-8.30,8.30-9.00,9.00-9.30,9.30-10.00,10.00-10.30,10.30-11.00,11.00-11.30,11.30-12.00,12.00-12.30,12.30-1.00,1.00-1.30,1.30-2.00,2.00-2.30,2.30-3.00,3.00-3.30,3.30-4.00,4.00-4.30,4.30-5.00,5.00-5.30,5.30-6.00,
Mon,,,,,014+,014+,014+,,Break,Break,,,,,002+,002+,002+,,,,
Tue,,,002+,002+010+,002+010+,010+001+,001+,001+,Break,Break,,,,004+,012+004+,012+004+,,,,,
Wed,,,006+,005+006+,005+,,,,Break,Break,005+,005+001+,001+,001+,,,,,006+,006+,
Thurs,002+,002+,008+002+,008+,008+004+011+,004+011+,004+011+,011+,Break,Break,,,,002+,002+,002+,,014+,012+014+,012+014+,
Fri,003+,003+,003+,003+,003+006+,003+006+,,,Break,Break,,012+011+,012+011+,009+011+007+,009+011+007+,009+007+,007+,,,,
Sat,,,007+,007+,007+,007+,,,Break,Break,013+,013+,013+,013+,013+,013+002+,002+,002+,,,
