Days ,8.00-8.30,8.30-9.00,9.00-9.30,9.30-10.00,10.00-10.30,10.30-11.00,11.00-11.30,11.30-12.00,12.00-12.30,12.30-1.00,1.00-1.30,1.30-2.00,2.00-2.30,2.30-3.00,3.00-3.30,3.30-4.00,4.00-4.30,4.30-5.00,5.00-5.30,5.30-6.00,
Mon,,,014+,014+,014+,001+,001+,001+,Break,Break,,,007+,007+,007+,007+,,006+,006+,,
Tue,,,,008+012+,008+012+,008+,,,Break,Break,,,002+,002+,002+,,,,,,
Wed,,011+,011+,011+,010+011+,004+010+,004+010+,004+,Break,Break,014+,012+014+,012+014+,,,,,,,,
Thurs,,,,,,,,,Break,Break,005+,005+,,002+,002+,002+,002+012+,002+012+,002+,,
Fri,,,002+,002+009+,002+009+,009+,,,Break,Break,,001+,001+013+,001+013+,013+,013+,013+,013+,,,
Sat,,005+,005+,006+,006+,,,,Break,Break,007+,007+,007+,007+,003+,003+011+,003+004+006+011+,002+003+004+006+011+,002+003+004+011+,002+003+,
