Days ,8.00-8.30,8.30-9.00,9.00-9.30,9.30-10.00,10.00-10.30,10.30-11.00,11.00-11.30,11.30-12.00,12.00-12.30,12.30-1.00,1.00-1.30,1.30-2.00,2.00-2.30,2.30-3.00,3.00-3.30,3.30-4.00,4.00-4.30,4.30-5.00,5.00-5.30,5.30-6.00,
Mon,,,,,022+,022+,022+,,Break,Break,,,024+,024+,024+,024+,,,,,
Tue,,,,,024+,024+,024+,024+,Break,Break,,,,,,,,,,,
Wed,,023+,023+,023+,023+,023+,023+,,Break,Break,021+,021+,021+,021+,,,,025+,025+,025+,
Thurs,,,,020+,020+,020+,020+,,Break,Break,,022+,022+,022+,,024+,024+,024+,024+,,
Fri,,,,021+,021+,021+,021+,,Break,Break,,,,,,,,,,,
Sat,,,,020+,020+,020+,020+,,Break,Break,,,,025+,025+,025+,,,,,
