Days ,8.00-8.30,8.30-9.00,9.00-9.30,9.30-10.00,10.00-10.30,10.30-11.00,11.00-11.30,11.30-12.00,12.00-12.30,12.30-1.00,1.00-1.30,1.30-2.00,2.00-2.30,2.30-3.00,3.00-3.30,3.30-4.00,4.00-4.30,4.30-5.00,5.00-5.30,5.30-6.00,
Mon,,,,,,,,,Break,Break,,,,012+,002+004+012+,002+004+,002+004+,,,,
Tue,002+,002+,002+007+,007+,007+,007+,,,Break,Break,,,001+,001+,001+,,,012+,012+,,
Wed,,002+,002+,002+,005+,005+,,,Break,Break,,,,,003+,003+,003+,003+014+,003+014+,003+014+,
Thurs,008+,008+,008+,011+,011+012+,011+012+,011+,,Break,Break,004+,004+,004+,,,,,,006+,006+,
Fri,005+,005+006+,006+,009+,009+,002+009+,002+,002+,Break,Break,014+,014+,014+,002+013+,002+013+,002+011+013+,011+013+,011+013+,011+013+,,
Sat,,,007+,007+,007+,007+,,,Break,Break,001+,001+,001+,006+010+,006+010+,010+,,,,,
