Days ,8.00-8.30,8.30-9.00,9.00-9.30,9.30-10.00,10.00-10.30,10.30-11.00,11.00-11.30,11.30-12.00,12.00-12.30,12.30-1.00,1.00-1.30,1.30-2.00,2.00-2.30,2.30-3.00,3.00-3.30,3.30-4.00,4.00-4.30,4.30-5.00,5.00-5.30,5.30-6.00,
Mon,019+,019+,002+,002+,002+025+,002+025+,002+025+,002+,Break,Break,013+,013+019+,013+019+,013+,013+016+,013+016+024+,002+024+,002+024+,002+024+,,
Tue,,004+012+020+,004+012+020+,004+011+020+,011+020+024+,005+011+024+,005+011+024+,024+,Break,Break,023+,023+,023+,023+,023+,006+023+,006+021+,021+,021+,021+,
Wed,025+,011+025+,011+025+,011+,011+,,018+,018+,Break,Break,,020+,020+,003+020+,003+020+022+,003+014+022+,003+004+014+022+,003+004+014+,003+004+,,
Thurs,002+008+,002+008+,002+008+024+,016+024+,002+016+024+,002+024+,002+,,Break,Break,,006+,006+,021+,021+,018+021+,005+018+021+,005+,,,
Fri,,001+,001+,001+007+,006+007+,006+007+022+,007+022+,022+,Break,Break,,009+015+019+,009+012+014+015+019+,009+012+014+015+,014+017+,017+,017+,017+,,,
Sat,015+,015+,015+,,012+,012+,,,Break,Break,001+,001+017+,001+010+017+,010+017+,007+010+017+,007+,007+,007+,018+,018+,
